id,tweet,sentiment,thème,urgence,confiance,tweet_id
1.3434582579150316e+18,"à parce que débit très instable, n nfree en france: vitesse, performances, pannes et commentaires des utilisateurs n internet free n nvia",neutre,Autre,0,0.0,
1.4853310978441298e+18,et vous ça se passe comment la fibre ? n c est la misère vraiment jpp,neutre,Autre,0,0.0,
1.6946756532058606e+18,"dans la lutte contre les installations sauvages et les infrastructures dégradées, la bonne formation des techniciens qui déploient la fibre est essentielle. j étais ce matin aux côtés d idriss, formateur au centre de formation technique à argenteuil, dans le val d oise.",neutre,Autre,0,0.0,
1.695912123824546e+18,"hello , et je crois que nous allons avoir prochainement un gros problème de fibre pboe",neutre,Autre,0,0.0,
1.7117739734012357e+18,"n nen 3 ans l équipe technique de free le boc m a t on dit n est pas capable d amener 3 mètres ou moins! de câble fibre, afin que j ai la fibre cercle rouge comme mes voisines dont nos maisons sont mitoyennes cercles verts . satisfaisant?!",neutre,Autre,0,0.0,
1.7592662796202478e+18,". a 25 ans et tient toujours ses promesses en terme de pouvoir d achat et d innovation. 3 quinquennats sans toucher aux prix de nos forfaits mobiles, voilà une promesse à laquelle les français peuvent croire",neutre,Autre,0,0.0,
1.762571081402012e+18,ça fonctionne super bien la fibre free ce soir... franchement c est abusé. déjà l autre soir la tv de free oqee était carrément indisponible ! ftth fibre free var,neutre,Autre,0,0.0,
1.811040987365421e+18,"et tout le réseau sachez qu une main courante va être déposée, et ira plus loin s il le faut. n6 appels en 24h avec 6 numéros différents quand je demande de retirer mon numéro de vos bases de données c est du harcèlement. nvos forfaits de merde j en veux pas.",neutre,Autre,0,0.0,
1.8128745026420495e+18,"installer la fibre sans autorisation du propriétaire et en perçant de partout, c est normal ?",neutre,Autre,0,0.0,
1.81310195890088e+18,"on ne se rend pas assez compte que sans xavier niel aujourd hui on paierait tous nos forfaits 144,99 avec 65 sms par jour, 2h d appel par mois et 150mo de données mobiles",neutre,Autre,0,0.0,
1.8135795208192865e+18,"le service proximité de 1 des plus grosses arnaques de ces dernières années.incompétents et complètement dépassés.tu en sais plus qu eux,tu leur dis ce qui marche pas,tu prends un rdv avec un technicien qui vient que ds 1 semaine! npratique pr le télétravail! nplus de reponse",neutre,Autre,0,0.0,
1.8135814076688714e+18,"comment vous joindre ? j ai été débité pour non restitution de matériel pour une résiliation de ligne que je n ai pas effectuée moi même, impossible de vous joindre car mes identifiants n existent plus, vos relances sont arrivées directement.",neutre,Autre,0,0.0,
1.813586665371513e+18,ma fibre hs depuis 3 semaines,neutre,Autre,0,0.0,
1.8135869319866985e+18,vous pouvez m envoyer les avengers de la fibre svp les mêmes que j ai chez ça fait 1mois que j attend,neutre,Autre,0,0.0,
1.8136048386823255e+18,"bon je travaille en remote chez moi et ça fait 1 semaine que j ai plus de connexion avec , ils ont envoyé un technicien qui a dit on vous envoie un autres tech et depuis plus de nouvelles, de base je kiff free, le boss etc etc mais la ,,,.",neutre,Autre,0,0.0,
1.8136256553740984e+18,il va falloir revoir la sélection des installateurs de fibre optique !!! j ai pas commandé un fil pour étendre mon linge le voisin non plus ! donc va falloir revenir !!!,neutre,Autre,0,0.0,
1.8136849038564682e+18,pourquoi j ai des bugs de connexion wsh je paye la fibre,neutre,Autre,0,0.0,
1.813698687253746e+18,merci de m avoir fait passer une super soirée en live et merci pour ces 2 déconnexions pour une mise à jour de la box en pleine soirée... n nen l espace de 2 mois j ai déjà eu 2 soucis majeur de connexion avec votre box.... et ça sans jamais aucun geste commercial...,neutre,Autre,0,0.0,
1.813886775799984e+18,"c est normal des signalements pour pertes de synchro des dizaines de fois par jour , des rendez vous techniciens annulé sans prévenir le client, une assistance téléphonique qui indique que la ligne est rétablie alors que la freebox est en étape 3? freeboxultra",neutre,Autre,0,0.0,
,depuis le 23 06 je suis en attente d un rdv pour la fibre chez je suis du coup pas encore client et je pense qu a cette allure là je ne le serai jamais !! honteux,neutre,Autre,0,0.0,1.8140096565048855e+18
,moi aussi j attend le technicien depuis une semaine,neutre,Autre,0,0.0,1.8140310659900012e+18
1.814034736118928e+18,"allo,avez vous des nouvelles pour le réseau svp ???",neutre,Autre,0,0.0,
,non plus rien depuis 15 mn même coralie est chez free en téléphonie et pas de réseau,neutre,Autre,0,0.0,1.8140352473332534e+18
