id,tweet
1343458257915031553,"💩 à <USER> parce-que Débit Très instable, … \n\nFree en France: vitesse, performances, pannes et commentaires des utilisateurs\n👉 <URL> #internet #Free\n\nvia <USER> <USER>"
1438534927734169617,"FreePlugs et boîtiers CPL personnels : gérer votre réseau CPL 🔗\nOn vous explique comment installer, optimiser et/ou repenser votre réseau CPL afin d'améliorer la liaison avec vos équipements.\n<URL> <URL>"
1471118475452104707,"Un incident sur nos fibres engendre des perturbations de service sur une partie des départements du Lot (46) et de l'Aveyron (12).\nDes investigations sont en cours, merci de votre patience."
1474424640470614017,Les équipes de l’assistance Free vous souhaitent de joyeuses fêtes ! Nos services profitent aussi des fêtes ce 25 décembre et seront de retour le 26 dès 9h00 ! 🎅🏻🎁 <URL>
1476961348131049473,Les équipes de l’assistance Free vous souhaitent une excellente année 2022 ! Nous ferons aussi la fête le 1er janvier et nous serons de retour le 02 dès 9h00 ! 🎆🎉 <URL>
1480457311051255811,"Liberté, égalité, prix inchangés. <URL>"
1480465391424053249,🎂 <USER> célèbre aujourd'hui 10 ans de révolution mobile ! Notre CP 👉 <URL> <URL>
1481898887937880067,"Et si votre mobile a rendu l'âme, déposez-le dans une boite de collecte disponible dans nos boutiques Free pour qu'il soit recyclé ♻️.\n\nVous pourrez en profiter pour vous offrir un smartphone reconditionné à prix Free ☺️📱"
1485331097844129798,Et vous ça se passe comment la fibre ?\n<USER> <USER> c’est la misère vraiment jpp <URL>
1485593294944063490,"Un coupure de fibre entraîne une interruption de service pour une partie des abonnés de Cergy (95). Des équipes sont sur place, nous vous tiendrons informés.\nMerci pour votre patience."
1495710997356716035,"Bonjour, une rupture de fibre engendre depuis ce matin une interruption de service sur la région de Cernay la Ville (78) ainsi qu'une partie du 78 et du 91.\nUne équipe est sur place, nous vous tiendrons informé de l'évolution de la situation. Merci pour votre patience. <URL>"
1594961300651646976,"🚨 En exclusivité, le 11 de ce soir : <URL>"
1694675653205860558,"Dans la lutte contre les installations sauvages et les infrastructures dégradées, la bonne formation des techniciens qui déploient la fibre est essentielle. J'étais ce matin aux côtés d'Idriss, formateur au centre de formation technique <USER> à Argenteuil, dans le Val-d'Oise. <URL>"
1695912123824546156,"Hello <USER>, <USER> et <USER> je crois que nous allons avoir prochainement un gros problème de fibre / PBOE <URL>"
1709659172361404776,"Bonsoir <USER>, je suis chez <USER> et voici ma bande passante #Freebox ⤵️\nVous allez pouvoir vous moquer d'eux dans votre prochain spot publicitaire <USER>\n\n<USER> <USER> <USER> <USER> 🤡 <URL>"
